debug4ZBGBP:debug1SH5D7,window_resize,0,"[1024, 768]",1604980048513
debug4ZBGBP:debug1SH5D7,focus,61,on,1604980048574
debug4ZBGBP:debug1SH5D7,focus,11091,on,1604980059665
debugTCZJN2:debug5HY7SM,initialized,0,,1604980259815
debugTCZJN2:debug5HY7SM,window_resize,1,"[1024, 768]",1604980259816
debugTCZJN2:debug5HY7SM,focus,69,on,1604980259885
debugTCZJN2:debug5HY7SM,focus,2553,off,1604980262438
debugTCZJN2:debug5HY7SM,window_resize,214,"[1024, 730]",1604980262652
debugTCZJN2:debug5HY7SM,focus,658,on,1604980263310
debugTCZJN2:debug5HY7SM,window_resize,2584,"[1024, 768]",1604980265894
debug9GUM8C:debugBT0SCZ,initialized,0,,1604980445326
debug9GUM8C:debugBT0SCZ,window_resize,0,"[1024, 768]",1604980445326
debug9GUM8C:debugBT0SCZ,focus,66,on,1604980445392
debug37T227:debug24O3B4,initialized,0,,1604980756927
debug37T227:debug24O3B4,window_resize,0,"[1024, 768]",1604980756927
debug37T227:debug24O3B4,focus,64,on,1604980756991
debug1USQVF:debugLLC43C,initialized,0,,1604980977882
debug1USQVF:debugLLC43C,window_resize,1,"[1024, 768]",1604980977883
debug1USQVF:debugLLC43C,focus,80,on,1604980977963
debugMNRLD5:debugVWX9NE,initialized,0,,1604981132185
debugMNRLD5:debugVWX9NE,window_resize,0,"[1024, 768]",1604981132185
debugMNRLD5:debugVWX9NE,focus,75,on,1604981132260
debugINVXOM:debugXJSYC3,initialized,0,,1604981343813
debugINVXOM:debugXJSYC3,window_resize,0,"[1024, 768]",1604981343813
debugINVXOM:debugXJSYC3,focus,69,on,1604981343882
debugKEVYZ5:debug2MW3XU,initialized,0,,1604981649868
debugKEVYZ5:debug2MW3XU,window_resize,0,"[1024, 768]",1604981649868
debugKEVYZ5:debug2MW3XU,focus,82,on,1604981649950
debugVYZQQD:debugDICQKP,initialized,0,,1606240336915
debugVYZQQD:debugDICQKP,window_resize,0,"[1024, 768]",1606240336915
debugVYZQQD:debugDICQKP,focus,54,on,1606240336969
